Product,TotalQuantitySold,TotalRevenue,CurrentStock,ReorderLevel,LowStockAlert
5 STRAND GLASS NECKLACE AMBER,13,82.55,271,50,NO
5 STRAND GLASS NECKLACE AMETHYST,15,95.25,207,50,NO
5 STRAND GLASS NECKLACE BLACK,9,57.15,399,50,NO
5 STRAND GLASS NECKLACE CRYSTAL,84,490.4,60,50,NO
50CM METAL STRING WITH  7 CLIPS,95,80.75,176,50,NO
6 CHOCOLATE LOVE HEART T-LIGHTS,1599,3153.48,34,50,YES
6 CROCHET STRAWBERRIES,937,1096.39,320,50,NO
6 EGG HOUSE PAINTED WOOD,675,4902.25,84,50,NO
6 HOOK JEWEL STAND LILAC DRESS,1,8.49,364,50,NO
6 HOOK JEWELLERY STAND BLACK DRESS,516,1071.6,346,50,NO
6 RABBIT CHAIN EASTER,52,44.199999999999996,28,50,YES
6 RIBBONS ELEGANT CHRISTMAS ,1525,2415.4500000000003,363,50,NO
6 RIBBONS EMPIRE  ,1085,1759.05,148,50,NO
6 RIBBONS RUSTIC CHARM,7647,12415.95,155,50,NO
6 RIBBONS SHIMMERING PINKS ,746,942.9,491,50,NO
6 ROCKET BALLOONS ,1999,1299.35,82,50,NO
6 SEGMENT COLOURED SNACK BOWL ,18,143.1,158,50,NO
60 CAKE CASES DOLLY GIRL DESIGN,2685,1336.35,100,50,NO
60 CAKE CASES VINTAGE CHRISTMAS,11020,5455.72,411,50,NO
60 GOLD AND SILVER FAIRY CAKE CASES,4199,2005.1299999999999,182,50,NO
60 TEATIME FAIRY CAKE CASES,35656,17436.3,438,50,NO
72 CAKE CASES DOLLY GIRL DESIGN,943,471.84999999999997,308,50,NO
72 CAKE CASES VINTAGE CHRISTMAS,4293,2148.99,398,50,NO
72 ROUND PINK DOILIES,115,166.75,280,50,NO
72 SWEETHEART FAIRY CAKE CASES,21183,10077.92,250,50,NO
75 BLACK FAIRY CAKE CASES,985,479.34999999999997,60,50,NO
75 BLACK PETIT FOUR CASES,477,200.34,47,50,YES
75 GREEN FAIRY CAKE CASES,2039,1012.25,154,50,NO
75 GREEN PETIT FOUR CASES,1063,446.46,220,50,NO
A4 WALL TIDY BLUE OFFICE,126,70.38000000000001,347,50,NO
A4 WALL TIDY RED FLOWERS,2,1.3,287,50,NO
ABSTRACT CIRCLE JOURNAL ,798,1582.2,437,50,NO
ABSTRACT CIRCLES NOTEBOOK,3187,698.55,52,50,NO
ABSTRACT CIRCLES POCKET BOOK,5233,797.65,67,50,NO
ABSTRACT CIRCLES SKETCHBOOK ,476,1257.0,426,50,NO
"ACRYLIC BEAD CHAIN, BLUE",229,87.02,81,50,NO
"ACRYLIC BEAD CHAIN, PINK",114,43.32,235,50,NO
"ACRYLIC BEAD GARLAND,PINK",2,5.9,312,50,NO
ACRYLIC GEOMETRIC LAMP,15,276.25,118,50,NO
"ACRYLIC HANGING JEWEL,BLUE",115,81.11,191,50,NO
"ACRYLIC JEWEL ANGEL,BLUE",137,52.93,379,50,NO
"ACRYLIC JEWEL ANGEL,PINK",214,95.24,233,50,NO
"ACRYLIC JEWEL ICICLE, BLUE",372,156.6,494,50,NO
"ACRYLIC JEWEL ICICLE, PINK",288,109.44,54,50,NO
"ACRYLIC JEWEL SNOWFLAKE, PINK",6,12.6,468,50,NO
"ACRYLIC JEWEL SNOWFLAKE,BLUE",235,91.47,246,50,NO
"ACRYLIC JEWEL SNOWFLAKE,PINK",400,186.72,120,50,NO
ADVENT CALENDAR GINGHAM SACK,960,5616.0,450,50,NO
AFGHAN SLIPPER SOCK PAIR,2317,7388.65,481,50,NO
AGED GLASS SILVER T-LIGHT HOLDER,7406,4559.5,150,50,NO
AIRLINE BAG VINTAGE JET SET BROWN,233,1178.95,276,50,NO
AIRLINE BAG VINTAGE JET SET RED,460,2450.0,24,50,YES
AIRLINE BAG VINTAGE JET SET WHITE,265,1365.65,237,50,NO
AIRLINE BAG VINTAGE TOKYO 78,718,3583.1,274,50,NO
AIRLINE BAG VINTAGE WORLD CHAMPION ,311,1644.25,417,50,NO
"AIRLINE LOUNGE,METAL SIGN",413,867.3000000000001,378,50,NO
ALARM CLOCK BAKELIKE CHOCOLATE,547,2007.33,302,50,NO
ALARM CLOCK BAKELIKE GREEN,1331,4989.81,412,50,NO
ALARM CLOCK BAKELIKE IVORY,885,3273.39,226,50,NO
ALARM CLOCK BAKELIKE ORANGE,703,2634.81,34,50,YES
ALARM CLOCK BAKELIKE PINK,900,3329.64,365,50,NO
ALARM CLOCK BAKELIKE RED ,1620,6011.64,61,50,NO
ALPHABET HEARTS STICKER SHEET,466,396.09999999999997,399,50,NO
ALPHABET STENCIL CRAFT,1905,2196.57,480,50,NO
AMBER BERTIE GLASS BEAD BAG CHARM,1,2.1,198,50,NO
AMBER BERTIE MOBILE PHONE CHARM,17,28.73,82,50,NO
AMBER CHUNKY BEAD BRACELET W STRAP,26,232.7,371,50,NO
AMBER CHUNKY GLASS+BEAD NECKLACE,17,203.14999999999998,250,50,NO
AMBER CRYSTAL DROP EARRINGS,1,2.95,260,50,NO
AMBER DIAMANTE EXPANDABLE RING,14,59.5,71,50,NO
AMBER DROP EARRINGS W LONG BEADS,6,17.700000000000003,115,50,NO
AMBER FINE BEAD NECKLACE W TASSEL,5,29.75,407,50,NO
AMBER GLASS BRACELET HEART CHARMS,9,44.550000000000004,241,50,NO
AMBER GLASS TASSLE BAG CHARM,29,85.55000000000001,426,50,NO
AMBER GLASS/SHELL/PEARL NECKLACE,2,17.9,250,50,NO
AMBER GLASS/SILVER BRACELET,22,190.45,256,50,NO
AMETHYST CHUNKY BEAD BRACELET W STR,30,268.5,162,50,NO
AMETHYST DIAMANTE EXPANDABLE RING,32,136.0,190,50,NO
AMETHYST HOOP EARRING FLORAL LEAF,45,132.75,48,50,YES
ANGEL DECORATION 3 BUTTONS ,3984,1630.08,55,50,NO
ANGEL DECORATION PAINTED ZINC ,1554,923.7,32,50,YES
ANGEL DECORATION STARS ON DRESS,3063,1286.46,179,50,NO
ANGEL DECORATION WITH LACE PADDED,1486,1263.1,346,50,NO
ANGEL ON KNEES METAL POLE 100CM H,6,5.1,206,50,NO
ANIMAL STICKERS,1724,360.84,262,50,NO
ANT COPPER LIME BOUDICCA BRACELET,54,267.3,105,50,NO
ANT COPPER PINK BOUDICCA BRACELET,43,210.4,303,50,NO
ANT COPPER RED BOUDICCA BRACELET,30,148.5,85,50,NO
ANT COPPER TURQ BOUDICCA BRACELET,42,207.9,189,50,NO
ANT SILVER FUSCHIA BOUDICCA RING,28,82.60000000000001,64,50,NO
ANT SILVER LIME GREEN BOUDICCA RING,28,82.60000000000001,81,50,NO
ANT SILVER PURPLE BOUDICCA RING,17,50.150000000000006,460,50,NO
ANT SILVER TURQUOISE BOUDICCA RING,23,67.85000000000001,153,50,NO
ANT WHITE HIGH RISE BIRD BOX,49,304.0,303,50,NO
ANT WHITE IRON BASKET,33,186.35000000000002,47,50,YES
ANT WHITE SWEETHEART TABLE W 3 DRAW,3,320.0,127,50,NO
ANT WHITE WIRE HEART SPIRAL,1380,4788.4,63,50,NO
ANTIQUE ALL GLASS CANDLESTICK,920,1045.48,359,50,NO
ANTIQUE CREAM CUTLERY CUPBOARD,25,318.75,305,50,NO
ANTIQUE CREAM CUTLERY SHELF ,78,663.0,465,50,NO
ANTIQUE EDWARDIAN DRESSER,52,737.4,350,50,NO
ANTIQUE GLASS DRESSING TABLE POT,632,1845.2,147,50,NO
ANTIQUE GLASS HEART DECORATION ,1830,3482.1,367,50,NO
ANTIQUE GLASS PEDESTAL BOWL,305,1143.75,492,50,NO
ANTIQUE GLASS PLACE SETTING,717,841.53,250,50,NO
ANTIQUE GLASS RIDGED HANGING BALL,775,1453.6499999999999,209,50,NO
ANTIQUE LILY FAIRY LIGHTS,2668,12081.0,244,50,NO
ANTIQUE MID BLUE FLOWER EARRINGS,3,12.75,404,50,NO
ANTIQUE OLIVE GREEN FLOWER EARRINGS,11,46.75,396,50,NO
ANTIQUE OPAL WHITE FLOWER EARRINGS,4,17.0,302,50,NO
ANTIQUE RASPBERRY FLOWER EARRINGS,2,8.5,465,50,NO
ANTIQUE SILVER TEA GLASS ENGRAVED,6990,8103.66,140,50,NO
ANTIQUE SILVER TEA GLASS ETCHED,15900,18420.36,135,50,NO
ANTIQUE TALL SWIRLGLASS TRINKET POT,312,1170.0,480,50,NO
APPLE BATH SPONGE,2099,2532.55,252,50,NO
APRON APPLE DELIGHT,227,1053.65,278,50,NO
APRON MODERN VINTAGE COTTON,160,592.0,378,50,NO
AQUA BERTIE GLASS BEAD BAG CHARM,12,25.2,217,50,NO
ARCHED GREY MIRROR,84,540.6,475,50,NO
AREA PATROLLED METAL SIGN,3190,6292.280000000001,430,50,NO
ARMY CAMO BOOKCOVER TAPE,20,8.4,156,50,NO
ARMY CAMO WRAPPING TAPE,2246,157.18,337,50,NO
"ART LIGHTS,FUNK MONKEY",262,704.1,184,50,NO
ASS COL CIRCLE MOBILE ,283,105.89999999999999,244,50,NO
ASS COL LARGE SAND FROG P'WEIGHT,689,653.97,326,50,NO
ASS COL LARGE SAND GECKO P'WEIGHT,809,750.63,253,50,NO
ASS COL SMALL SAND FROG P'WEIGHT,1144,444.48,191,50,NO
ASS COL SMALL SAND GECKO P'WEIGHT,1559,622.74,171,50,NO
ASS COLOUR GLOWING TIARAS,422,333.5,482,50,NO
ASS DES PHONE SPONGE CRAFT STICKER,578,375.7,334,50,NO
ASS FLORAL PRINT MULTI SCREWDRIVER,116,145.0,393,50,NO
ASS FLORAL PRINT SCISSORS,6828,1169.4,179,50,NO
ASS FLORAL PRINT SPIRIT LEVEL ,53,103.35,115,50,NO
ASS FLORAL PRINT TAPE MEASURE,235,289.19,491,50,NO
ASS FLORAL PRINT TORCH,2567,729.9499999999999,252,50,NO
"ASS RETROSPOOF MUGS,SPORTS",143,75.0,199,50,NO
ASS WINDPROOF MARIJUANA LIGHTERS,15,6.3,132,50,NO
ASSORTED BOTTLE TOP  MAGNETS ,300,118.80000000000001,337,50,NO
ASSORTED CAKES FRIDGE MAGNETS,2747,1716.43,461,50,NO
ASSORTED CHEESE FRIDGE MAGNETS,599,383.59000000000003,71,50,NO
ASSORTED CIRCULAR MOBILE,521,102.93,287,50,NO
ASSORTED COLOUR BIRD ORNAMENT,44431,70291.03,314,50,NO
ASSORTED COLOUR JUMBO PEN,247,103.74,405,50,NO
ASSORTED COLOUR LIZARD SUCTION HOOK,491,188.94,406,50,NO
ASSORTED COLOUR METAL CAT ,127,147.35,132,50,NO
ASSORTED COLOUR MINI CASES,1336,9667.68,120,50,NO
ASSORTED COLOUR SET 6 TEASPOONS,227,964.75,132,50,NO
ASSORTED COLOUR SILK COIN PURSE,3551,1667.5900000000001,459,50,NO
ASSORTED COLOUR SILK COSMETIC PURSE,1394,1535.4,100,50,NO
ASSORTED COLOUR SILK GLASSES CASE,1984,1044.8400000000001,206,50,NO
ASSORTED COLOUR SUCTION CUP HOOK,160,30.4,132,50,NO
ASSORTED COLOUR T-LIGHT HOLDER,4097,2704.9700000000003,21,50,YES
ASSORTED COLOURS SILK FAN,19202,12784.880000000001,149,50,NO
ASSORTED CREEPY CRAWLIES,5149,2117.94,239,50,NO
ASSORTED DESIGN FLOWER MUGS,7,5.949999999999999,73,50,NO
ASSORTED DESIGN GEISHA GIRL MUGS,5,6.25,362,50,NO
ASSORTED EASTER DECORATIONS  BELLS,308,330.28000000000003,243,50,NO
ASSORTED EASTER GIFT TAGS,84,71.4,244,50,NO
ASSORTED FARMYARD ANIMALS IN BUCKET,3738,1353.18,404,50,NO
ASSORTED FLORAL SECATEURS,3141,1293.75,422,50,NO
"ASSORTED FLOWER COLOUR ""LEIS""",14369,6888.97,145,50,NO
ASSORTED FRAGRANCE BATH CONFETTI,56,23.52,149,50,NO
ASSORTED ICE CREAM FRIDGE MAGNETS,2811,1751.91,72,50,NO
ASSORTED INCENSE PACK,8033,1438.53,191,50,NO
ASSORTED LAQUERED INCENSE HOLDERS,3641,637.89,237,50,NO
ASSORTED MINI MADRAS NOTEBOOK,770,962.5,179,50,NO
ASSORTED MONKEY SUCTION CUP HOOK,558,211.32000000000002,217,50,NO
ASSORTED SANSKRIT MINI NOTEBOOK,1165,1401.53,435,50,NO
ASSORTED SANTA CHRISTMAS DECORATION,48,40.8,266,50,NO
ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,343,50,NO
ASSORTED SHAPES PHOTO CLIP SILVER ,739,347.87,458,50,NO
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1474,1252.8999999999999,222,50,NO
ASSORTED TUTTI FRUTTI BRACELET,600,390.0,203,50,NO
ASSORTED TUTTI FRUTTI HEART BOX,793,991.25,142,50,NO
ASSORTED TUTTI FRUTTI KEYRING,249,211.64999999999998,420,50,NO
ASSORTED TUTTI FRUTTI KEYRING BALL,439,373.15,274,50,NO
ASSORTED TUTTI FRUTTI LARGE PURSE,684,1436.4,313,50,NO
ASSORTED TUTTI FRUTTI MIRROR,833,1036.69,299,50,NO
ASSORTED TUTTI FRUTTI NOTEBOOK,761,1598.1000000000001,344,50,NO
ASSORTED TUTTI FRUTTI PEN,1769,1472.4499999999998,391,50,NO
ASSORTED TUTTI FRUTTI PHOTO FRAME,413,1120.75,117,50,NO
ASSORTED TUTTI FRUTTI ROUND BOX,939,1549.35,217,50,NO
ASSORTED TUTTI FRUTTI SMALL PURSE,1990,2391.7400000000002,489,50,NO
ASSORTED WHITE EMBOSSED CHINA MUGS,674,1307.4,414,50,NO
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,20,25.0,259,50,NO
ASSTD DESIGN 3D PAPER STICKERS,632,530.7,163,50,NO
ASSTD DESIGN BUBBLE GUM RING,22410,4622.099999999999,116,50,NO
ASSTD DESIGN POP ART SLIM PEN,684,581.4,220,50,NO
ASSTD DESIGN RACING CAR PEN,3070,4738.62,143,50,NO
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,684,369.96,206,50,NO
ASSTD HEARTS DESIGN MUGS,318,536.1,345,50,NO
ASSTD MULTICOLOUR CIRCLES MUG,167,221.75,483,50,NO
ASSTD RASTA KEY-CHAINS,27,11.34,368,50,NO
Adjustment by Peter on Jun 25 2010 ,3,731.0500000000001,278,50,NO
Adjustment by john on 26/01/2010 16,18,2107.41,167,50,NO
Adjustment by john on 26/01/2010 17,14,1431.1100000000001,271,50,NO
BABUSHKA LIGHTS STRING OF 10,1200,7447.0,462,50,NO
BABY BOOM RIBBONS ,1723,2126.39,439,50,NO
BABY MOUSE RED GINGHAM DRESS,355,1479.25,422,50,NO
BAG 125g SWIRLY MARBLES,5227,2072.94,365,50,NO
BAG 250g SWIRLY MARBLES,11929,8977.45,470,50,NO
BAG 500g SWIRLY MARBLES,1043,1615.35,166,50,NO
BAG FOR CHILDREN VINTAGE BLUE ,96,408.0,167,50,NO
BAG FOR CHILDREN VINTAGE PINK ,96,408.0,371,50,NO
BAG OF SILVER STONES,100,42.0,218,50,NO
BAKING MOULD CHOCOLATE CUP CAKES,12,30.6,327,50,NO
BAKING MOULD CHOCOLATE CUPCAKES,38,96.9,436,50,NO
BAKING MOULD EASTER EGG MILK CHOC,12,35.400000000000006,443,50,NO
BAKING MOULD HEART MILK CHOCOLATE,91,199.65000000000003,147,50,NO
BAKING MOULD HEART WHITE CHOCOLATE,87,189.45000000000002,58,50,NO
BAKING MOULD ROSE MILK CHOCOLATE,81,227.25,357,50,NO
BAKING MOULD ROSE WHITE CHOCOLATE,9,29.25,379,50,NO
BAKING MOULD TOFFEE CUP CHOCOLATE,79,169.05000000000004,148,50,NO
BAKING SET 9 PIECE RETROSPOT ,4249,20117.81,286,50,NO
BAKING SET SPACEBOY DESIGN,2145,10099.47,495,50,NO
BALLERINA HEART DECORATION.,338,468.4,460,50,NO
BALLOON ART MAKE YOUR OWN FLOWERS,455,872.25,492,50,NO
BALLOON PUMP WITH 10 BALLOONS,1779,3205.0499999999997,453,50,NO
BALLOON WATER BOMB PACK OF 35,2486,1006.9200000000001,170,50,NO
BALLOONS  WRITING SET ,919,1506.75,434,50,NO
BANK ACCOUNT  GREETING  CARD ,763,314.7,497,50,NO
BANQUET BIRTHDAY  CARD  ,2344,960.72,317,50,NO
BAROQUE BUTTERFLY EARRINGS CRYSTAL,1,3.75,118,50,NO
BAROQUE BUTTERFLY EARRINGS GREEN,2,7.5,282,50,NO
BAROQUE BUTTERFLY EARRINGS MONTANA,3,11.25,271,50,NO
BAROQUE BUTTERFLY EARRINGS PINK,2,7.5,163,50,NO
BAROQUE BUTTERFLY EARRINGS RED,1,3.75,365,50,NO
BASKET OF FLOWERS SEWING KIT,1003,852.55,131,50,NO
BASKET OF TOADSTOOLS,825,1031.25,79,50,NO
BASKET/8 SCENTED LOVE TOKEN CANDLES,121,453.75,388,50,NO
BATH BUILDING BLOCK WORD,805,4762.150000000001,21,50,YES
BATH DUCK WATERING CAN,832,2016.5200000000002,404,50,NO
BATHROOM METAL SIGN,7195,3724.11,323,50,NO
BATHROOM METAL SIGN ,1398,1911.8999999999999,273,50,NO
BATHROOM SCALES FOOTPRINTS IN SAND,46,159.7,159,50,NO
BATHROOM SCALES RUBBER DUCKS,44,152.2,472,50,NO
"BATHROOM SCALES, FAG BREAK",2,7.5,56,50,NO
"BATHROOM SCALES, TROPICAL BEACH",19,71.25,179,50,NO
BATHROOM SET LOVE HEART DESIGN,516,1219.8,28,50,YES
BEACH HUT DESIGN BLACKBOARD,354,880.5,252,50,NO
BEACH HUT KEY CABINET,339,711.25,118,50,NO
BEACH HUT MIRROR,295,588.15,166,50,NO
BEACH HUT PHOTO FRAME,574,583.1,323,50,NO
BEACH HUT SHELF W 3 DRAWERS,222,584.9,227,50,NO
BEADED CRYSTAL HEART BLUE  LARGE,172,283.8,150,50,NO
BEADED CRYSTAL HEART BLUE ON STICK,235,128.63,423,50,NO
BEADED CRYSTAL HEART BLUE SMALL,319,396.47,171,50,NO
BEADED CRYSTAL HEART GREEN LARGE,59,97.35,73,50,NO
BEADED CRYSTAL HEART GREEN ON STICK,188,89.8,139,50,NO
BEADED CRYSTAL HEART GREEN SMALL,129,158.97,180,50,NO
BEADED CRYSTAL HEART PINK LARGE,187,306.15,427,50,NO
BEADED CRYSTAL HEART PINK ON STICK,373,157.85,135,50,NO
BEADED CRYSTAL HEART PINK SMALL,491,611.47,94,50,NO
BEADED CRYSTAL HEART PINK\ON STICK,15,18.75,132,50,NO
BEADED LOVE HEART JEWELLERY SET,2098,1667.86,475,50,NO
BEADED PEARL HEART WHITE LARGE,606,997.5,439,50,NO
BEADED PEARL HEART WHITE ON STICK,954,658.26,441,50,NO
BEAUTY SPEED EXPRESSO CUPS,462,306.9,123,50,NO
BEECH WOOD P/FRAME,5,36.25,359,50,NO
BEECH WOOD PHOTO FRAME ,271,338.75,273,50,NO
BEIGE PHOTO ALBUM,94,201.29999999999998,246,50,NO
BENDY COLOUR PENCILS,4,1.68,131,50,NO
BERRIES CHUNKY KNITTED THROW ,5,84.75,492,50,NO
BEST DAD CANDLE LETTERS,185,127.00999999999999,118,50,NO
BEWARE OF THE CAT DOORMAT,2,13.5,172,50,NO
BEWARE OF THE CAT METAL SIGN ,5124,7784.76,368,50,NO
BIG DOUGHNUT FRIDGE MAGNETS,4537,3775.33,421,50,NO
